gene	log2FoldChange
blaCMY-102_1_KF526115	1.57208164406049
dfrA18_1_AJ310778	1.57293076826493
blaTEM-150_1_AM183304	1.58365889373976
blaNDM-21_1_MG183694	1.58500290589252
ampS_1_X80276	1.58809783038809
dfrA5_1_X12868	1.59006527976246
aph(3')-Ia_5_AP004237	1.59447859094772
blaCMY-17_1_AY513266	1.60350578896758
blaNDM-20_1_KY654092	1.60871226452489
blaCMY-138_1_KT997883	1.61784445129452
blaTLA-1_1_AF148067	1.62520288529728
dfrA17_3_JQ414038	1.6309957197109
blaNDM-4_1_JQ348841	1.63845366361622
blaVIM-54_1_KY508061	1.64101189471751
blaNDM-12_1_AB926431	1.65571375375327
blaCEPH-A3_1_AY112998	1.66967010454146
blaNDM-7_1_JX262694	1.70189878971398
erm(C)_12_Y09003	1.73098763809973
msr(C)_1_AY004350	1.76200710528002
blaNDM-13_1_LC012596	1.76980179519884
fosA6_1_KU254579	1.77057017272044
blaVIM-57_1_MH450217	1.7740733200172
ampH_1_AJ276031	1.77546929713732
qnrB42_1_JN680743	1.77899395310648
qnrA1_1_AY070235	1.79805746302752
blaOXA-147_1_FJ848783	1.79817389492456
blaOXA-28_1_AF231133	1.79991773578576
dfrA8_1_U10186	1.8001448409278
qnrB66_1_KC580655	1.80197336339043
dfrA17_9_FJ807902	1.81607104114726
blaOXA-145_1_FJ790516	1.81797572122699
blaNDM-18_1_KY503030	1.82262418097449
blaVIM-35_1_JX982634	1.83939291932622
blaOXA-13_1_AF043558	1.87256512998778
blaOXA-46_1_AF317511	1.878692774004
dfrA16_1_AF077008	1.8997546819216
blaNDM-11_1_KP265939	1.90299508361853
blaNDM-3_1_JQ734687	1.91976636280443
blaNDM-9_1_KC999080	1.9218603161105
blaOXA-19_1_AF043381	1.93251607374884
blaOXA-7_1_X75562	1.93947860995365
blaVIM-26_1_FR748153	1.94454887008077
dfrA17_10_AM937244	1.96547202852437
qnrVC6_1_KC202804	1.97238779681659
dfrA21_1_AY552589	1.98382605500452
blaIMP-15_1_AY553333	1.9855966408499
blaOXA-101_1_AM412777	1.98597743427009
blaOXA-183_1_HQ111474	1.98709538600637
blaIMP-62_1_KX753224	1.99211890133265
dfrA17_7_AB196349	2.00161505297226
tet(39)_1_KT346360	2.03347990207511
blaMOX-7_1_GQ152602	2.04484176755569
dfrA12_6_AY551331	2.05781772990351
blaBKC-1_1_KP689347	2.06137279074703
dfrA16_2_AF174129	2.0642363060403
blaNDM-15_1_KP735848	2.07563058832577
blaNDM-24_1_MH450215	2.07892567937991
blaVIM-42_1_KP071470	2.1005333938256
blaMOX-2_1_AJ276453	2.10973119708427
dfrA17_5_GU358475	2.11072035168503
blaCMY-1_1_X92508	2.11717169436805
blaNDM-16_1_KP862821	2.13348865512972
dfrA12_10_FM877486	2.13828731771334
blaNDM-6_1_JN967644	2.1383676378737
blaOXA-56_1_AY445080	2.14866883750713
dfrA17_6_AF180469	2.17013023178355
blaMOX-3_1_EU515248	2.20355761576643
tet(E)_3_CP000645	2.24313849969253
blaNDM-22_1_MH243357	2.26897934255423
blaNDM-1_1_FN396876	2.27709994608818
blaNDM-2_1_JF703135	2.27753002173259
imiH_1_AJ548797	2.3609726665208
aac(6')-Ii_1_L12710	2.38402428709701
blaOXA-35_1_AF315786	2.38492846703478
dfrA17_11_JN645876	2.38738627254789
dfrA17_2_JN645879	2.39236512763236
blaOXA-427_1_KX827604	2.45699698544235
tet(E)_1_Y19116	2.50524597536192
dfrA12_8_AM040708	2.50753899375226
blaOXA-420_1_AB983359	2.52152507499098
dfrB5_1_AY943084	2.52786724249213
blaOXA-512_1_KU726870	2.53585574605594
blaVIM-28_1_JF900599	2.54445701033628
cmlB1_1_AM296481	2.54813197365259
blaVIM-19_1_FJ499397	2.56094634407651
blaOXA-397_1_KM087865	2.59465303204408
blaVIM-40_1_HG934765	2.60823549582368
blaVIM-14_1_FJ445404	2.66600751437177
blaMOX-5_1_GQ152600	2.71440999238218
blaVIM-4_1_EU581706	2.72036612755453
dfrA12_5_FR875302	2.73371148912218
blaOXA-164_1_GU831575	2.7403837745808
blaOXA-96_1_DQ519090	2.76291257868737
blaMOX-6_1_GQ152601	2.76793820122372
dfrB8_1_GU295656	2.77372812919623
ampH_2_HQ586946	2.77526342329775
dfrA25_1_DQ267940	2.8105354413928
dfrG_1_AB205645	2.88406289018992
tet(Y)_1_EF495198	2.89531919724518
tet(E)_2_L06940	2.89985881891961
blaOXA-58_1_AY665723	3.02476753574524
blaOXA-97_1_EF102240	3.02788434494946
dfrA12_4_EU650399	3.06668299414459
blaVIM-5_1_DQ023222	3.11382214484381
cphA1_1_AY261379	3.21303911207572
blaVIM-49_1_KU663374	3.39106052549316
blaVIM-25_1_HM750249	3.41956389353467
blaVIM-38_1_KC469971	3.58357090869829
blaBEL-2_1_FJ666063	5.21182928349404
blaBEL-3_1_GQ202694	5.43986359596776
blaBEL-1_1_DQ089809	6.53506400414835
