"r"	"p"	"p.ad"	"Gene"
0.397888365224652	0.0155682236132359	0.00085488314993316	"dfrA31_1_AB200915"
0.258542722876779	0.295803438513918	0.0346436459520805	"dfrA1_1_FJ591049"
0.326902728681733	0.0850491570744149	0.00693236372549928	"dfrA1_2_HM055363"
0.274041556589621	0.2278546796648	0.0248284378527925	"dfrA1_3_GU726913"
0.304918158194145	0.133141723366591	0.0121089855657303	"dfrA1_4_AB188271"
0.307463781658751	0.127473814495234	0.0113747547897935	"dfrA1_6_FJ215857"
0.290481087077068	0.169977430668654	0.0170972275005728	"dfrA1_8_X00926"
0.275992808129729	0.21908235409679	0.0237785652451685	"dfrA1_12_AY141977"
0.30676993473451	0.128218424061242	0.0115709494992129	"dfrA1_13_DQ018382"
0.287206692699067	0.176950481757574	0.0184465753183571	"dfrA1_14_AB199789"
0.268429930688376	0.249156129033269	0.02806868844812	"dfrA1_15_FM207631"
0.281116944042742	0.196872049718034	0.0211990066405948	"dfrA1_16_FJ001872"
0.294994737326682	0.157203496377548	0.0153764037640845	"dfrA1_17_FJ489928"
0.31449068028418	0.110183485590245	0.00954480395275312	"dfrA7_1_AB161450"
0.285392228205919	0.181798278742672	0.0192327583026079	"dfrA7_2_AJ884724"
0.291976294410108	0.166598489796205	0.0165097602500743	"dfrA7_3_EU339235"
0.288775224054333	0.172778086586086	0.017789249584153	"dfrA7_4_FN563072"
0.290904878771754	0.16936194000051	0.0169289283655594	"dfrA7_5_AJ419170"
0.240500816247163	0.40286188726682	0.0499472695924972	"dfrB2_2_AY553333"
0.566320124668484	1.65205378775189e-05	5.88247380452195e-07	"dfrA34_1_JYRF01000065"
